Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
25,The Lord of the Rings: The Return of the King,1140682011,377027325,763654686,2003.csv,2003,0.3305279835784138,0.6694720164215863
26,Spider-Man: Far from Home,1131927996,390532085,741395911,2019.csv,2019,0.345014953583673,0.654985046416327
27,Captain Marvel,1128274794,426829839,701444955,2019.csv,2019,0.3783030882811692,0.6216969117188308
28,Transformers: Dark of the Moon,1123794079,352390543,771403536,2011.csv,2011,0.3135721655639725,0.6864278344360275
29,Skyfall,1108561013,304360277,804200736,2012.csv,2012,0.2745543758356943,0.7254456241643057
30,Transformers: Age of Extinction,1104054072,245439076,858614996,2014.csv,2014,0.22230711540729683,0.7776928845927031
31,The Dark Knight Rises,1081041287,448139099,632902188,2012.csv,2012,0.4145439257399981,0.5854560742600019
32,Joker,1074251311,335451311,738800000,2019.csv,2019,0.3122652097931673,0.6877347902068327
33,Star Wars: Episode IX - The Rise of Skywalker,1074144248,515202542,558941706,2019.csv,2019,0.4796399952420543,0.5203600047579457
34,Toy Story 4,1073394593,434038008,639356585,2019.csv,2019,0.4043601587249657,0.5956398412750342
35,Toy Story 3,1066969703,415004880,651964823,2010.csv,2010,0.3889565737744289,0.6110434262255711
36,Pirates of the Caribbean: Dead Man's Chest,1066179725,423315812,642863913,2006.csv,2006,0.3970398255322291,0.602960174467771
37,Rogue One: A Star Wars Story,1056057273,532177324,523879949,2016.csv,2016,0.5039284682810948,0.49607153171890517
38,Aladdin,1050693953,355559216,695134737,2019.csv,2019,0.3384041708670612,0.6615958291329388
39,Pirates of the Caribbean: On Stranger Tides,1045713802,241071802,804642000,2011.csv,2011,0.23053325062644625,0.7694667493735537
40,Despicable Me 3,1034799409,264624300,770175109,2017.csv,2017,0.2557252136969475,0.7442747863030524
41,Finding Dory,1028570889,486295561,542275328,2016.csv,2016,0.47278759898871686,0.5272124010112832
42,Alice in Wonderland,1025467110,334191110,691276000,2010.csv,2010,0.32589159295416115,0.6741084070458389
43,Zootopia,1023784195,341268248,682515947,2016.csv,2016,0.3333400238709487,0.6666599761290513
44,The Hobbit: An Unexpected Journey,1017003568,303003568,714000000,2012.csv,2012,0.29793756633113405,0.7020624336688659
45,The Dark Knight,1003045358,533345358,469700000,2008.csv,2008,0.5317260617839378,0.4682739382160622
46,Harry Potter and the Deathly Hallows: Part 1,976536918,295983305,680553613,2010.csv,2010,0.30309484418283916,0.6969051558171608
47,Harry Potter and the Sorcerer's Stone,974755371,317575550,657179821,2001.csv,2001,0.32580025660612644,0.6741997433938736
48,Despicable Me 2,970766005,368065385,602700620,2013.csv,2013,0.3791494377679614,0.6208505622320386
49,The Jungle Book,966550600,364001123,602549477,2016.csv,2016,0.3765981036067848,0.6234018963932152
50,Jumanji: Welcome to the Jungle,962077546,404515480,557562066,2017.csv,2017,0.42046036900231326,0.5795396309976868
51,Pirates of the Caribbean: At World's End,960996492,309420425,651576067,2007.csv,2007,0.32197872476729084,0.6780212752327092
52,The Hobbit: The Desolation of Smaug,958366855,258366855,700000000,2013.csv,2013,0.2695907664711547,0.7304092335288452
53,The Hobbit: The Battle of the Five Armies,956019788,255119788,700900000,2014.csv,2014,0.26685617934092387,0.7331438206590761
54,Doctor Strange in the Multiverse of Madness,954006455,411085499,542920956,2022.csv,2022,0.4309043160509852,0.5690956839490148
55,Harry Potter and the Order of the Phoenix,941676843,292004738,649672105,2007.csv,2007,0.31009017602018274,0.6899098239798173
56,The Lord of the Rings: The Two Towers,936689735,339789881,596899854,2002.csv,2002,0.36275606351125433,0.6372439364887457
57,Harry Potter and the Half-Blood Prince,933959197,301959197,632000000,2009.csv,2009,0.32331090905248616,0.6766890909475138
58,Shrek 2,928760770,441226247,487534523,2004.csv,2004,0.47506985787093486,0.5249301421290652
59,Star Wars: Episode I - The Phantom Menace,924305084,431088295,493216789,1999.csv,1999,0.4663917817420552,0.5336082182579448
60,Bohemian Rhapsody,903655259,216428042,687227217,2018.csv,2018,0.23950288546929155,0.7604971145307085
61,The Battle at Lake Changjin,902540935,342411,902198524,2021.csv,2021,0.00037938556216289516,0.9996206144378371
62,Harry Potter and the Goblet of Fire,895921036,290013036,605908000,2005.csv,2005,0.3237037912345659,0.6762962087654341
63,Spider-Man 3,894983373,336530303,558453070,2007.csv,2007,0.3760184972732449,0.6239815027267551
64,Ice Age: Dawn of the Dinosaurs,886686817,196573705,690113112,2009.csv,2009,0.22169462907442775,0.7783053709255723
65,The Lord of the Rings: The Fellowship of the Ring,880839846,313364114,567475732,2001.csv,2001,0.35575606101724877,0.6442439389827512
66,Spectre,880674609,200074609,680600000,2015.csv,2015,0.22718335121207064,0.7728166487879293
